Title,Genres,Release Year,Budget ($),Revenue ($),Vote Average,Vote Count,Return on Investment,Profit ($),,,,
MacGruber,Action,2010,10000000,6110000,5.1,179,-0.39,-3890000,,,,
Flipped,Romance,2010,14000000,1755212,7.4,418,-0.87,-12244788,,,,
The Social Network,Drama,2010,40000000,224920315,7.1,3391,4.62,184920315,,,,
127 Hours,Adventure,2010,18000000,35692920,7,2606,0.98,17692920,,,,
Carlos,Crime,2010,18000000,871279,6.7,50,-0.95,-17128721,,,,
Dear John,Drama,2010,25000000,114977104,6.6,1262,3.60,89977104,,,,
The Losers,Action,2010,25000000,23580000,6.2,515,-0.06,-1420000,,,,
Clash of the Titans,Adventure,2010,125000000,232713139,5.6,2233,0.86,107713139,,,,
Megamind,Animation,2010,130000000,321887208,6.7,1918,1.48,191887208,,,,
Inside Job,Documentary,2010,2000000,7871522,7.7,286,2.94,5871522,,,,
Takers,Action,2010,32000000,69055695,6,394,1.16,37055695,,,,
The Conspirator,Crime,2010,25000000,15478800,6.2,137,-0.38,-9521200,,,,
Troll Hunter,Fantasy,2010,3500000,4159678,6.7,583,0.19,659678,,,,
Stone,Drama,2010,22000000,9479718,5.2,192,-0.57,-12520282,,,,
Devil,Horror,2010,10000000,33583175,5.8,816,2.36,23583175,,,,
Grown Ups,Comedy,2010,80000000,271430189,6,1705,2.39,191430189,,,,
Don't Be Afraid of the Dark,Fantasy,2010,25000000,36993168,5.4,341,0.48,11993168,,,,
Winter's Bone,Drama,2010,2000000,13831503,6.8,565,5.92,11831503,,,,
Buried,Drama,2010,1987650,19152480,6.6,827,8.64,17164830,,,,
Killers,Action,2010,75000000,98159963,5.7,772,0.31,23159963,,,,
Cop Out,Action,2010,30000000,55583804,5.3,511,0.85,25583804,,,,
She's Out of My League,Comedy,2010,20000000,49779728,5.9,525,1.49,29779728,,,,
Super,Comedy,2010,2500000,324138,6.6,441,-0.87,-2175862,,,,
Salt,Action,2010,110000000,293329073,6.2,2093,1.67,183329073,,,,
Rubber,Comedy,2010,500000,98017,5.7,251,-0.80,-401983,,,,
Monsters,Drama,2010,500000,4242978,6.2,587,7.49,3742978,,,,
Centurion,Adventure,2010,12000000,6814789,5.9,386,-0.43,-5185211,,,,
The Extra Man,Comedy,2010,7000000,453079,5.9,29,-0.94,-6546921,,,,
Ca$h,Crime,2010,7000000,46488,6,73,-0.99,-6953512,,,,
Extraordinary Measures,Drama,2010,31000000,15134293,6,89,-0.51,-15865707,,,,
Paranormal Activity 2,Horror,2010,3000000,177512032,5.7,722,58.17,174512032,,,,
Eat Pray Love,Drama,2010,60000000,204594016,5.8,636,2.41,144594016,,,,
Secretariat,Drama,2010,35000000,60251371,6.8,103,0.72,25251371,,,,
True Grit,Drama,2010,38000000,252276927,7.2,1668,5.64,214276927,,,,
Faster,Crime,2010,24000000,23081726,6.1,568,-0.04,-918274,,,,
From Paris with Love,Action,2010,52000000,52826594,6.1,675,0.02,826594,,,,
The Last Exorcism,Horror,2010,1800000,67738090,5.6,328,36.63,65938090,,,,
The Other Guys,Action,2010,100000000,170432927,6.1,1383,0.70,70432927,,,,
Princess Kaiulani,Drama,2010,9000000,771499,4.8,14,-0.91,-8228501,,,,
The Virginity Hit,Comedy,2010,2000000,563706,4.6,19,-0.72,-1436294,,,,
Skyline,Sci-Fi,2010,10000000,66821036,4.7,507,5.68,56821036,,,,
The Fighter,Drama,2010,25000000,93617009,7.2,1486,2.74,68617009,,,,
Another Year,Comedy,2010,8000000,18124262,7,97,1.27,10124262,,,,
The Debt,Drama,2010,20000000,45636368,6.3,257,1.28,25636368,,,,
You Again,Comedy,2010,20000000,32005248,6,368,0.60,12005248,,,,
Charlie St. Cloud,Drama,2010,44000000,48190704,6.8,566,0.10,4190704,,,,
Marmaduke,Family,2010,50000000,83761844,5,149,0.68,33761844,,,,
The Nutcracker: The Untold Story,Fantasy,2010,90000000,16178959,5.4,50,-0.82,-73821041,,,,
Yogi Bear,Comedy,2010,80000000,201584141,5.2,220,1.52,121584141,,,,
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy,2010,85000000,112483764,4.9,119,0.32,27483764,,,,
The Expendables,Thriller,2010,80000000,274470394,6,2926,2.43,194470394,,,,
It's Kind of a Funny Story,Comedy,2010,8000000,6491240,6.9,672,-0.19,-1508760,,,,
My Name Is Khan,Drama,2010,12000000,42345360,7.7,232,2.53,30345360,,,,
The Last Airbender,Action,2010,150000000,318502923,4.7,1151,1.12,168502923,,,,
The Warrior's Way,Adventure,2010,42000000,11087569,6.3,136,-0.74,-30912431,,,,
Let Me In,Drama,2010,20000000,24145613,6.7,641,0.21,4145613,,,,
The Back-Up Plan,Comedy,2010,35000000,77477008,5.7,458,1.21,42477008,,,,
How Do You Know,Comedy,2010,120000000,48668907,4.9,223,-0.59,-71331093,,,,
Knight and Day,Action,2010,117000000,261930431,5.9,1547,1.24,144930431,,,,
Edge of Darkness,Crime,2010,80000000,74901339,6.2,487,-0.06,-5098661,,,,
Furry Vengeance,Comedy,2010,35000000,39340177,4.6,149,0.12,4340177,,,,
Resident Evil: Afterlife,Action,2010,60000000,300228084,5.8,1363,4.00,240228084,,,,
Date Night,Comedy,2010,55000000,152263880,5.9,1122,1.77,97263880,,,,
Trust,Crime,2010,9500000,120000,6.6,307,-0.99,-9380000,,,,
Diary of a Wimpy Kid,Comedy,2010,15000000,75700498,5.9,355,4.05,60700498,,,,
The King's Speech,Drama,2010,15000000,414211549,7.6,2752,26.61,399211549,,,,
The Next Three Days,Romance,2010,30000000,51148651,6.9,905,0.70,21148651,,,,
RED,Action,2010,58000000,71664962,6.6,2808,0.24,13664962,,,,
Beginners,Drama,2010,3200000,5332926,6.8,347,0.67,2132926,,,,
Legion,Horror,2010,26000000,67918658,5.2,629,1.61,41918658,,,,
The Sorcerer's Apprentice,Fantasy,2010,150000000,215283742,5.8,1470,0.44,65283742,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,2010,155000000,415686217,6.2,1514,1.68,260686217,,,,
Jonah Hex,Action,2010,47000000,10539000,4.4,420,-0.78,-36461000,,,,
The Bounty Hunter,Action,2010,40000000,136000000,5.5,858,2.40,96000000,,,,
The Ghost Writer,Thriller,2010,45000000,60222298,6.7,670,0.34,15222298,,,,
Everything Must Go,Comedy,2010,5000000,2614773,6,208,-0.48,-2385227,,,,
The Crazies,Mystery,2010,20000000,54956140,6.2,633,1.75,34956140,,,,
Leap Year,Romance,2010,19000000,29922472,6.4,465,0.57,10922472,,,,
Blue Valentine,Drama,2010,3500000,16566240,6.9,890,3.73,13066240,,,,
Fair Game,Drama,2010,22000000,24188922,6.5,235,0.10,2188922,,,,
Rabbit Hole,Drama,2010,5000000,5129058,6.9,165,0.03,129058,,,,
Sea Rex 3D: Journey to a Prehistoric World,Documentary,2010,5000000,4074023,5.9,11,-0.19,-925977,,,,
Of Gods and Men,Drama,2010,4000000,41424067,6.5,91,9.36,37424067,,,,
Hereafter,Drama,2010,50000000,105197635,5.8,510,1.10,55197635,,,,
Tucker and Dale vs Evil,Comedy,2010,5000000,5476793,7.3,847,0.10,476793,,,,
The Tempest,Drama,2010,20000000,346594,6,31,-0.98,-19653406,,,,
Scott Pilgrim vs. the World,Action,2010,60000000,47664559,7.2,2126,-0.21,-12335441,,,,
Space Battleship Yamato,Sci-Fi,2010,12000000,11212294,6.3,59,-0.07,-787706,,,,
Iron Man 2,Adventure,2010,200000000,623933331,6.6,6849,2.12,423933331,,,,
Wall Street: Money Never Sleeps,Drama,2010,70000000,134748021,5.8,493,0.92,64748021,,,,
Due Date,Comedy,2010,65000000,211780824,6.2,1685,2.26,146780824,,,,
Sarah's Key,Drama,2010,10000000,17511906,7.2,196,0.75,7511906,,,,
Never Let Me Go,Drama,2010,15000000,9455232,6.8,737,-0.37,-5544768,,,,
Love & Other Drugs,Drama,2010,30000000,102820008,6.6,1233,2.43,72820008,,,,
Barney's Version,Comedy,2010,30000000,8454301,7.2,129,-0.72,-21545699,,,,
Prince of Persia: The Sands of Time,Adventure,2010,150000000,335154643,6.2,2317,1.23,185154643,,,,
Despicable Me,Animation,2010,69000000,543513985,7.1,6478,6.88,474513985,,,,
The Book of Eli,Action,2010,80000000,157107755,6.6,2164,0.96,77107755,,,,
Our Family Wedding,Comedy,2010,14000000,21409028,5.7,39,0.53,7409028,,,,
G.I. Joe: The Rise of Cobra,Adventure,2009,175000000,302469017,5.6,1962,0.73,127469017,,,,
Alvin and the Chipmunks: The Squeakquel,Comedy,2009,75000000,443140005,5.4,666,4.91,368140005,,,,
My Bloody Valentine,Mystery,2009,15000000,100734718,5.3,299,5.72,85734718,,,,
Agora,Adventure,2009,70000000,39041505,6.9,395,-0.44,-30958495,,,,
The Imaginarium of Doctor Parnassus,Adventure,2009,30000000,64352607,6.3,869,1.15,34352607,,,,
The Joneses,Comedy,2009,10000000,7022728,6.1,210,-0.30,-2977272,,,,
A Perfect Getaway,Thriller,2009,14000000,22852638,6.2,351,0.63,8852638,,,,
The Boondock Saints II: All Saints Day,Action,2009,8000000,10629321,5.9,261,0.33,2629321,,,,
New in Town,Comedy,2009,8000000,29010817,5.2,99,2.63,21010817,,,,
2012,Action,2009,200000000,769653595,5.6,4903,2.85,569653595,,,,
A Christmas Carol,Animation,2009,200000000,325233863,6.6,1095,0.63,125233863,,,,
Monsters vs Aliens,Animation,2009,175000000,381509870,6,1423,1.18,206509870,,,,
Cheri,Drama,2009,23000000,9366227,5.9,56,-0.59,-13633773,,,,
Defendor,Drama,2009,3500000,44462,6.5,195,-0.99,-3455538,,,,
The Secret in Their Eyes,Crime,2009,2000000,33965843,7.8,626,15.98,31965843,,,,
The Men Who Stare at Goats,Comedy,2009,24000000,68729358,5.9,742,1.86,44729358,,,,
The Taking of Pelham 1 2 3,Thriller,2009,100000000,150166126,6.2,954,0.50,50166126,,,,
Jennifer's Body,Comedy,2009,16000000,31556061,5.3,837,0.97,15556061,,,,
The Last House on the Left,Crime,2009,15000000,32721635,6.2,440,1.18,17721635,,,,
Did You Hear About the Morgans?,Comedy,2009,58000000,85280250,5.1,276,0.47,27280250,,,,
Tidal Wave,Action,2009,16000000,11301649,6.5,48,-0.29,-4698351,,,,
Enter the Void,Fantasy,2009,13000000,754249,7.2,387,-0.94,-12245751,,,,
Hachi: A Dog's Tale,Drama,2009,16000000,47801389,7.7,1717,1.99,31801389,,,,
The Road,Adventure,2009,32000000,27635305,6.8,1087,-0.14,-4364695,,,,
The Soloist,Drama,2009,60000000,31720158,6.6,234,-0.47,-28279842,,,,
Planet 51,Sci-Fi,2009,70000000,104945765,5.6,556,0.50,34945765,,,,
City Island,Drama,2009,6000000,6670712,6.9,113,0.11,670712,,,,
Halloween II,Horror,2009,15000000,39421467,5.1,267,1.63,24421467,,,,
Me and Orson Welles,Comedy,2009,25000000,2336172,6.6,49,-0.91,-22663828,,,,
Year One,Comedy,2009,60000000,62357900,4.6,524,0.04,2357900,,,,
Chloe,Drama,2009,15000000,8459458,5.9,498,-0.44,-6540542,,,,
Harry Brown,Thriller,2009,7300000,10329747,6.7,348,0.42,3029747,,,,
Dead Snow,Horror,2009,800000,1984662,6.1,311,1.48,1184662,,,,
Old Dogs,Comedy,2009,35000000,92219310,5.2,210,1.63,57219310,,,,
Underworld: Rise of the Lycans,Fantasy,2009,35000000,91353501,6.2,1428,1.61,56353501,,,,
Zombieland,Comedy,2009,23600000,102391382,7.2,3550,3.34,78791382,,,,
Bodyguards and Assassins,Drama,2009,23000000,5837674,6.5,57,-0.75,-17162326,,,,
The Time Traveler's Wife,Drama,2009,39000000,101229792,6.7,798,1.60,62229792,,,,
The Hangover,Comedy,2009,35000000,459270619,7.2,6173,12.12,424270619,,,,
The Blind Side,Drama,2009,29000000,309208309,7.2,1597,9.66,280208309,,,,
The Princess and the Frog,Romance,2009,105000000,267045765,6.7,1247,1.54,162045765,,,,
Public Enemies,History,2009,80000000,214104620,6.5,1344,1.68,134104620,,,,
The Fourth Kind,Mystery,2009,10000000,42333295,5.8,441,3.23,32333295,,,,
Saint John of Las Vegas,Comedy,2009,3800000,111731,5.9,18,-0.97,-3688269,,,,
The Young Victoria,Drama,2009,35000000,27409889,7,322,-0.22,-7590111,,,,
Whiteout,Action,2009,40000000,12206028,5.3,220,-0.69,-27793972,,,,
Adventureland,Comedy,2009,9500000,17164377,6.4,737,0.81,7664377,,,,
Watchmen,Action,2009,130000000,185258983,7,2811,0.43,55258983,,,,
The Box,Thriller,2009,30000000,33333531,5.4,597,0.11,3333531,,,,
The Bad Lieutenant: Port of Call - New Orleans,Drama,2009,25000000,10589102,6,326,-0.58,-14410898,,,,
Hotel for Dogs,Comedy,2009,35000000,73034460,5.7,202,1.09,38034460,,,,
Extract,Comedy,2009,8000000,10848783,5.7,192,0.36,2848783,,,,
[REC]²,Thriller,2009,5600000,18469680,6.4,489,2.30,12869680,,,,
The Ugly Truth,Comedy,2009,38000000,205298907,6.4,972,4.40,167298907,,,,
The Informant!,Drama,2009,22000000,35424826,6,301,0.61,13424826,,,,
Precious,Drama,2009,10000000,47536959,6.9,417,3.75,37536959,,,,
Fantastic Mr. Fox,Adventure,2009,40000000,46471023,7.5,1176,0.16,6471023,,,,
The Unborn,Horror,2009,16000000,76514050,4.8,365,3.78,60514050,,,,
Brooklyn's Finest,Crime,2009,17000000,29536299,6.2,293,0.74,12536299,,,,
My Life in Ruins,Comedy,2009,17000000,20455276,5.6,101,0.20,3455276,,,,
Where the Wild Things Are,Family,2009,100000000,100086793,6.4,572,0.00,86793,,,,
Land of the Lost,Adventure,2009,100000000,68688831,5.3,381,-0.31,-31311169,,,,
Away We Go,Drama,2009,17000000,14899417,6.7,189,-0.12,-2100583,,,,
(500) Days of Summer,Comedy,2009,7500000,60722734,7.2,2904,7.10,53222734,,,,
Funny People,Comedy,2009,75000000,61458982,5.7,390,-0.18,-13541018,,,,
Inglourious Basterds,Drama,2009,70000000,319131050,7.9,6430,3.56,249131050,,,,
All About Steve,Comedy,2009,15000000,40105542,4.7,295,1.67,25105542,,,,
Invictus,Drama,2009,60000000,122233971,7,1125,1.04,62233971,,,,
State of Play,Action,2009,60000000,87784194,6.7,484,0.46,27784194,,,,
Duplicity,Romance,2009,78146652,60000000,5.7,201,-0.23,-18146652,,,,
The Lovely Bones,Fantasy,2009,65000000,93525586,6.6,1065,0.44,28525586,,,,
Sorority Row,Horror,2009,12500000,27206120,5.4,177,1.18,14706120,,,,
I Love You Phillip Morris,Comedy,2009,13000000,10652035,6.4,503,-0.18,-2347965,,,,
Solitary Man,Comedy,2009,15000000,5024782,5.8,84,-0.67,-9975218,,,,
An Education,Drama,2009,7500000,26096852,6.8,409,2.48,18596852,,,,
Nine,Drama,2009,80000000,53825515,5.1,165,-0.33,-26174485,,,,
Cirque du Freak: The Vampire's Assistant,Adventure,2009,40000000,28169671,5.5,348,-0.30,-11830329,,,,
Pandorum,Action,2009,33000000,20645327,6.5,774,-0.37,-12354673,,,,
The Twilight Saga: New Moon,Adventure,2009,50000000,709827462,5.6,2436,13.20,659827462,,,,
Shorts,Comedy,2009,40000000,28972508,5.1,44,-0.28,-11027492,,,,
The Final Destination,Horror,2009,40000000,186167139,5.4,831,3.65,146167139,,,,
Cloudy with a Chance of Meatballs,Animation,2009,100000000,242988466,6.5,1747,1.43,142988466,,,,
Ice Age: Dawn of the Dinosaurs,Animation,2009,90000000,886686817,6.5,2271,8.85,796686817,,,,
Up in the Air,Drama,2009,25000000,163670000,6.7,1205,5.55,138670000,,,,
Coraline,Animation,2009,60000000,124596398,7.3,1386,1.08,64596398,,,,
The Messenger,Drama,2009,6500000,1521261,7.1,119,-0.77,-4978739,,,,
A Serious Man,Comedy,2009,7000000,31430334,6.6,483,3.49,24430334,,,,
Whip It,Drama,2009,15000000,16633035,6.7,357,0.11,1633035,,,,
Whatever Works,Comedy,2009,15000000,35097815,6.8,350,1.34,20097815,,,,
Post Grad,Comedy,2009,15000000,6405245,5,100,-0.57,-8594755,,,,
G-Force,Fantasy,2009,150000000,292817841,5.1,510,0.95,142817841,,,,
Ondine,Drama,2009,12000000,1644755,6.5,84,-0.86,-10355245,,,,
Mao's Last Dancer,Drama,2009,25000000,20719451,6.8,28,-0.17,-4280549,,,,
Race to Witch Mountain,Adventure,2009,50000000,106303988,5.5,509,1.13,56303988,,,,
Life During Wartime,Comedy,2009,4500000,744816,6.3,30,-0.83,-3755184,,,,
Knowing,Action,2009,50000000,155446362,5.9,1486,2.11,105446362,,,,
Law Abiding Citizen,Drama,2009,53000000,126690726,7.2,1486,1.39,73690726,,,,
Pontypool,Horror,2009,1500000,32000,6.6,183,-0.98,-1468000,,,,
Orphan,Horror,2009,20000000,41596251,6.7,1261,1.08,21596251,,,,
Daybreakers,Fantasy,2009,20000000,51416464,6,634,1.57,31416464,,,,
Astro Boy,Animation,2009,65000000,44091067,6.1,409,-0.32,-20908933,,,,
Bride Wars,Comedy,2009,30000000,114663461,5.9,856,2.82,84663461,,,,
District 9,Sci-Fi,2009,30000000,210819611,7.3,3382,6.03,180819611,,,,
Hannah Montana: The Movie,Comedy,2009,35000000,155545279,6,449,3.44,120545279,,,,
The International,Drama,2009,50000000,60161391,6,368,0.20,10161391,,,,
Julie & Julia,Romance,2009,40000000,129540499,6.6,560,2.24,89540499,,,,
He's Just Not That Into You,Comedy,2009,40000000,177259441,6.2,959,3.43,137259441,,,,
"I Love You, Man",Comedy,2009,41000000,91636986,6.5,515,1.24,50636986,,,,
17 Again,Comedy,2009,20000000,136267476,6.1,1350,5.81,116267476,,,,
Love Happens,Drama,2009,18000000,36133014,5.6,180,1.01,18133014,,,,
Surrogates,Action,2009,80000000,122444772,5.9,1195,0.53,42444772,,,,
Saw VI,Horror,2009,11000000,68233629,6,722,5.20,57233629,,,,
Ninja Assassin,Action,2009,40000000,60462347,6.2,371,0.51,20462347,,,,
Bright Star,Drama,2009,8500000,4440055,6.8,107,-0.48,-4059945,,,,
Crazy Heart,Drama,2009,7000000,39462438,6.8,274,4.64,32462438,,,,
Crank: High Voltage,Action,2009,20000000,34560577,5.9,861,0.73,14560577,,,,
Capitalism: A Love Story,Documentary,2009,20000000,17436509,7,167,-0.13,-2563491,,,,
12 Rounds,Action,2009,20000000,17280326,5.7,220,-0.14,-2719674,,,,
Armored,Action,2009,20000000,22942221,5.5,208,0.15,2942221,,,,
Sherlock Holmes,Action,2009,90000000,524028679,7,5766,4.82,434028679,,,,
The Proposal,Comedy,2009,40000000,317375031,6.7,1804,6.93,277375031,,,,
Micmacs,Action,2009,33000000,14000000,6.8,148,-0.58,-19000000,,,,
Soul Kitchen,Drama,2009,5000000,17872796,7.1,116,2.57,12872796,,,,
Star Trek,Sci-Fi,2009,150000000,385680446,7.4,4518,1.57,235680446,,,,
Night at the Museum: Battle of the Smithsonian,Adventure,2009,150000000,413106170,5.9,1971,1.75,263106170,,,,
Paul Blart: Mall Cop,Action,2009,26000000,183293131,5.2,788,6.05,157293131,,,,
Case 39,Horror,2009,27000000,29000000,6.1,563,0.07,2000000,,,,
Brothers,Drama,2009,26000000,43318349,6.8,633,0.67,17318349,,,,
Couples Retreat,Comedy,2009,70000000,171844840,5.3,588,1.45,101844840,,,,
Gamer,Action,2009,50000000,40828540,5.6,760,-0.18,-9171460,,,,
The Boat That Rocked,Drama,2009,50000000,36348784,7.2,666,-0.27,-13651216,,,,
Moon,Sci-Fi,2009,5000000,9760104,7.6,1794,0.95,4760104,,,,
Street Fighter: The Legend of Chun-Li,Action,2009,50000000,12764201,3.9,112,-0.74,-37235799,,,,
The Invention of Lying,Comedy,2009,18500000,31912793,6,518,0.73,13412793,,,,
City of Life and Death,Drama,2009,12000000,10652498,7.6,55,-0.11,-1347502,,,,
Janky Promoters,Comedy,2009,10000000,9069,7,5,-1.00,-9990931,,,,
World's Greatest Dad,Comedy,2009,10000000,295750,6.5,177,-0.97,-9704250,,,,
It's Complicated,Comedy,2009,85000000,219103655,6.2,360,1.58,134103655,,,,
Bandslam,Comedy,2009,20000000,5210988,5.4,126,-0.74,-14789012,,,,
Aliens in the Attic,Adventure,2009,45000000,57881056,5.3,244,0.29,12881056,,,,
Drag Me to Hell,Horror,2009,30000000,90810892,6.2,966,2.03,60810892,,,,
Up,Animation,2009,175000000,735099082,7.7,6870,3.20,560099082,,,,
Avatar,Action,2009,237000000,2787965087,7.2,11800,10.76,2550965087,,,,
Harry Potter and the Half-Blood Prince,Adventure,2009,250000000,933959197,7.4,5293,2.74,683959197,,,,
My Sister's Keeper,Drama,2009,30000000,95714875,7.1,598,2.19,65714875,,,,
Terminator Salvation,Action,2009,200000000,371353001,5.9,2463,0.86,171353001,,,,
X-Men Origins: Wolverine,Adventure,2009,150000000,373062864,6.2,4021,1.49,223062864,,,,
Angels & Demons,Thriller,2009,150000000,356613439,6.5,2129,1.38,206613439,,,,
9,Action,2009,30000000,48428063,6.6,1262,0.61,18428063,,,,
Fish Tank,Drama,2009,3000000,2357852,6.9,250,-0.21,-642148,,,,
I Hope They Serve Beer in Hell,Comedy,2009,7000000,1429299,5.7,20,-0.80,-5570701,,,,
Transformers: Revenge of the Fallen,Sci-Fi,2009,150000000,836297228,6,3138,4.58,686297228,,,,
Down Terrace,Drama,2009,31192,10000,6.3,26,-0.68,-21192,,,,
Bolt,Animation,2008,150000000,309979994,6.3,1750,1.07,159979994,,,,
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,2008,185000000,786636033,5.7,2495,3.25,601636033,,,,
Quantum of Solace,Adventure,2008,200000000,586090727,6.1,2965,1.93,386090727,,,,
The Chronicles of Narnia: Prince Caspian,Adventure,2008,225000000,419651413,6.3,1630,0.87,194651413,,,,
The Wrestler,Drama,2008,6000000,44703995,7.3,1000,6.45,38703995,,,,
In Bruges,Comedy,2008,15000000,34533783,7.4,1388,1.30,19533783,,,,
The Rocker,Comedy,2008,15000000,8762890,5.6,156,-0.42,-6237110,,,,
Lakeview Terrace,Drama,2008,20000000,27640028,5.9,292,0.38,7640028,,,,
The Hurt Locker,Drama,2008,15000000,42000000,7.2,1840,1.80,27000000,,,,
Righteous Kill,Action,2008,60000000,73174566,5.9,375,0.22,13174566,,,,
Fireproof,Drama,2008,500000,33456317,7,100,65.91,32956317,,,,
The Tale of Despereaux,Adventure,2008,60000000,50877145,5.8,258,-0.15,-9122855,,,,
The Happening,Thriller,2008,60000000,163403799,4.9,950,1.72,103403799,,,,
The Midnight Meat Train,Mystery,2008,15000000,3533227,6,290,-0.76,-11466773,,,,
The Spiderwick Chronicles,Adventure,2008,90000000,162839667,6.3,572,0.81,72839667,,,,
Cloverfield,Action,2008,25000000,170764026,6.4,2251,5.83,145764026,,,,
Sleep Dealer,Drama,2008,2500000,107559,6,40,-0.96,-2392441,,,,
Forgetting Sarah Marshall,Comedy,2008,30000000,105173115,6.4,1172,2.51,75173115,,,,
Baby Mama,Comedy,2008,30000000,63833449,5.8,205,1.13,33833449,,,,
The Incredible Hulk,Sci-Fi,2008,150000000,163712074,6.1,3021,0.09,13712074,,,,
Asterix at the Olympic Games,Fantasy,2008,97250400,132900000,5,471,0.37,35649600,,,,
Pineapple Express,Action,2008,27000000,101624843,6.6,1148,2.76,74624843,,,,
Pride and Glory,Thriller,2008,30000000,31148328,6.3,240,0.04,1148328,,,,
Speed Racer,Action,2008,120000000,93945766,5.7,354,-0.22,-26054234,,,,
Bronson,Drama,2008,230000,2260712,6.9,733,8.83,2030712,,,,
The Secret Life of Bees,Adventure,2008,11000000,38105395,7.4,158,2.46,27105395,,,,
The Brothers Bloom,Adventure,2008,20000000,5530764,6.8,203,-0.72,-14469236,,,,
Journey to the Center of the Earth,Action,2008,45000000,101702060,5.8,1309,1.26,56702060,,,,
Yes Man,Comedy,2008,70000000,225990978,6.4,1813,2.23,155990978,,,,
Mamma Mia!,Comedy,2008,52000000,609841637,6.4,1386,10.73,557841637,,,,
Gran Torino,Drama,2008,33000000,269958228,7.8,3086,7.18,236958228,,,,
W.,Drama,2008,25100000,29506464,6.1,143,0.18,4406464,,,,
Taken,Action,2008,25000000,226830568,7.2,4369,8.07,201830568,,,,
The Love Guru,Comedy,2008,62000000,41819064,4.3,242,-0.33,-20180936,,,,
Marley & Me,Comedy,2008,60000000,244082376,6.9,1343,3.07,184082376,,,,
Ong Bak 2,Adventure,2008,8500000,8936663,6,152,0.05,436663,,,,
Doubt,Drama,2008,20000000,50907234,7,435,1.55,30907234,,,,
Stargate: The Ark of Truth,Adventure,2008,7000000,8900000,6.9,140,0.27,1900000,,,,
Red Cliff,Adventure,2008,80341000,127814609,7.1,205,0.59,47473609,,,,
Never Back Down,Drama,2008,20000000,41627431,6.4,497,1.08,21627431,,,,
Swing Vote,Drama,2008,21000000,17600000,5.8,65,-0.16,-3400000,,,,
Death Race,Action,2008,45000000,73762516,6,1175,0.64,28762516,,,,
Revolutionary Road,Drama,2008,35000000,75225693,6.7,796,1.15,40225693,,,,
The Children of Huang Shi,Drama,2008,40000000,7400000,6.5,52,-0.82,-32600000,,,,
Babylon A.D.,Action,2008,70000000,72108608,5.4,676,0.03,2108608,,,,
Seven Pounds,Drama,2008,55000000,168167691,7.5,2039,2.06,113167691,,,,
Nick and Norah's Infinite Playlist,Comedy,2008,9000000,32973937,6.4,379,2.66,23973937,,,,
Tropic Thunder,Action,2008,92000000,188072649,6.5,1667,1.04,96072649,,,,
Sex Drive,Comedy,2008,19000000,18755936,6,342,-0.01,-244064,,,,
Saw V,Horror,2008,10800000,113857533,5.9,820,9.54,103057533,,,,
Beverly Hills Chihuahua,Adventure,2008,20000000,149281606,4.9,209,6.46,129281606,,,,
Milk,History,2008,20000000,54586584,7.1,612,1.73,34586584,,,,
Transsiberian,Thriller,2008,15000000,5926410,6.5,195,-0.60,-9073590,,,,
Slumdog Millionaire,Drama,2008,15000000,377910544,7.6,2827,24.19,362910544,,,,
The Express,Drama,2008,40000000,9793496,7.1,71,-0.76,-30206504,,,,
The Inhabited Island,Action,2008,36500000,21834845,5.3,23,-0.40,-14665155,,,,
Burn After Reading,Comedy,2008,37000000,163720069,6.5,1222,3.42,126720069,,,,
Nim's Island,Adventure,2008,37000000,100076342,5.6,330,1.70,63076342,,,,
Twilight,Adventure,2008,37000000,392616625,5.8,3561,9.61,355616625,,,,
City of Ember,Adventure,2008,55000000,17869048,6.2,605,-0.68,-37130952,,,,
Space Chimps,Animation,2008,37000000,63800345,5.2,99,0.72,26800345,,,,
The Bank Job,Thriller,2008,20000000,64822796,6.6,697,2.24,44822796,,,,
Step Brothers,Comedy,2008,65000000,128107642,6.5,1062,0.97,63107642,,,,
Body of Lies,Action,2008,70000000,113280098,6.5,895,0.62,43280098,,,,
The Day the Earth Stood Still,Drama,2008,80000000,233093859,5.2,1043,1.91,153093859,,,,
Bedtime Stories,Fantasy,2008,80000000,212874442,5.9,901,1.66,132874442,,,,
The House Bunny,Romance,2008,25000000,70442940,5.6,529,1.82,45442940,,,,
Harold & Kumar Escape from Guantanamo Bay,Comedy,2008,12000000,43493123,6.2,497,2.62,31493123,,,,
Two Lovers,Drama,2008,12000000,3148182,6.6,154,-0.74,-8851818,,,,
You Don't Mess with the Zohan,Comedy,2008,90000000,201596308,5.5,1048,1.24,111596308,,,,
Eagle Eye,Mystery,2008,80000000,178066569,6.3,1018,1.23,98066569,,,,
Get Smart,Action,2008,80000000,230685453,6,1051,1.88,150685453,,,,
Four Christmases,Comedy,2008,80000000,163733697,5.3,331,1.05,83733697,,,,
27 Dresses,Comedy,2008,30000000,160259319,6.1,978,4.34,130259319,,,,
Valkyrie,Drama,2008,75000000,200276000,6.7,1173,1.67,125276000,,,,
Appaloosa,Drama,2008,20000000,20211394,6.3,299,0.01,211394,,,,
